"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Code.nlogo"
"Memory Sharing Experiment"
"11/25/2024 11:29:45:396 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","memory-satisfact","[step]","coopown-percent","defother-percent","consist-ethno-percent","meetown-percent","coop-percent","last100coopown-percent","last100defother-percent","last100consist-ethno-percent","last100meetown-percent","last100coop-percent","cc-percent","cd-percent","dc-percent","dd-percent"
"26","2","1000","1","0.8658536585365854","0.9967723004694836","0.9759389671361502","0.9791666666666666","0.9981558482228292","0.7797152290548907","0.9921848118544926","0.9726651737617256","0.9786866196984483","0.18351349176546325","0.81391824472936","8.449117536612843E-4","0.0017233517515154765"
"28","2","1000","0.9960677555958862","0.9770114942528736","0.9951149425287357","0.95","0.9511494252873564","0.9966993744558136","1.0172603073920468","0.9976900968043401","0.9518153017862075","0.9509836190834445","0.011567566824520766","0.9844322407263579","0.0020000962245606316","0.0020000962245606316"
"29","2","1000","0.9925178919973975","1.125","0.9987600743955363","0.9528828270303782","0.9469931804091755","0.997185205414833","1.0240227123826162","0.9986286566708364","0.9462151511414157","0.9449230931867435","0.006456808904614072","0.9900325593881864","0.0019067548684201469","0.0016038768387794016"
"30","2","1000","0.9980034227039362","0.9347826086956522","0.9971846846846847","0.9870495495495496","0.9878941441441441","0.998400294459073","0.8694166463265804","0.9954757266508755","0.9773260576007792","0.9802868970402674","0.060849666699830864","0.9367890425496634","0.0010214572347693432","0.0013398335157364112"
"32","3","1000","0.9974603174603175","1.0533333333333332","1","0.9545454545454546","0.9521212121212121","0.9979369169034226","1.0209050664043287","0.9993191559902432","0.9398193099201932","0.9385612285978165","8.651417102121326E-4","0.9962487455445201","0.002000207634010451","8.859051112572239E-4"
"31","3","1000","0.9988706945228685","1.0476190476190477","0.9994419642857143","0.98828125","0.9877232142857143","0.9976711277127208","1.0771375464684014","0.9991140536405364","0.9818423184231843","0.9804416794167942","0.016875292857620988","0.9799116406720663","0.0011044915991699576","0.002108574871142646"
"33","3","1000","0.9968474148802018","1.0701754385964912","0.9993913572732805","0.9653073645769933","0.9628727936701157","0.9992280072900331","0.9895591647331786","0.9988172816029313","0.9575206975719487","0.9579642169708494","0.03520767077763325","0.9635392902623889","4.494596269485096E-4","8.035793330291534E-4"
"34","3","1000","0.9941927990708479","1.1442307692307692","0.9985907553551296","0.9706877113866967","0.9664599774520857","0.9977187309300164","1.0469483568075117","0.9989433525754391","0.9751242951049418","0.9739564216356902","0.05022179133021674","0.9470622609434765","0.0014675414364640883","0.0012484062898427538"
"35","3","1000","0.9945325314379442","1.2777777777777777","1","0.9806970509383378","0.9753351206434316","0.9981651685014982","1.0792328554823711","0.9993224520047124","0.9857244785645938","0.9845933882377668","0.00473660501351423","0.9928917801685304","8.678255339445652E-4","0.0015037892840108113"
"36","3","1000","0.9958456973293769","1.032258064516129","0.9977502812148481","0.9476940382452194","0.9460067491563554","0.9987029675621795","0.981320500879644","0.9977496779173312","0.9451579765830292","0.9461823981112051","0.03162730629788322","0.9665767577638915","0.0010224054779409291","7.735304602842555E-4"
